time,susceptible,exposed,infected,vaccinatedD1,vaccinatedD2,recovered,new_exposed,new_infected,new_recovered,deaths,error
342,0.04326283418767922,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9105339831285865,0.0,0.0,0.0,0.045873504002705935,0.9996885178695479
343,0.043243567251774966,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9105500389085067,0.0,0.0,0.0,0.045873504002705935,0.9996853067135639
344,0.04322108915988667,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.910569305844411,0.0,0.0,0.0,0.045873504002705935,0.9996820955575798
345,0.04319968145332638,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9105864320096592,0.0,0.0,0.0,0.045873504002705935,0.9996778140162678
346,0.043169710664141984,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9106003470189233,0.0,0.0,0.0,0.045873504002705935,0.9996617582363475
347,0.04315044372823773,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9106153324135156,0.0,0.0,0.0,0.045873504002705935,0.9996574766950355
348,0.04313224717766149,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9106388808907319,0.0,0.0,0.0,0.045873504002705935,0.9996628286216755
349,0.04311726178306929,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.910649584744012,0.0,0.0,0.0,0.045873504002705935,0.9996585470803635
350,0.04308729099388489,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9106827666891805,0.0,0.0,0.0,0.045873504002705935,0.9996617582363475
351,0.04306909444330865,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9107020336250847,0.0,0.0,0.0,0.045873504002705935,0.9996628286216755
352,0.043050897892732407,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9107148782490209,0.0,0.0,0.0,0.045873504002705935,0.9996574766950355
353,0.043033771727484176,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.910727722872957,0.0,0.0,0.0,0.045873504002705935,0.9996531951537234
354,0.0430134344062519,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9107480601941893,0.0,0.0,0.0,0.045873504002705935,0.9996531951537234
355,0.04299095631436361,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9107630455887815,0.0,0.0,0.0,0.045873504002705935,0.9996457024564274
356,0.042977041305099425,1.070385328014232e-06,0.08640685560394887,0.10800830190860408,1.712616524822771e-05,0.9107833829100138,0.0,0.0,0.0,0.045873504002705935,0.9996521247683955
