time,susceptible,exposed,vaccinatedD1,vaccinatedD2,infected,recovered,new_exposed,new_infected,new_recovered,deaths,error
123,4.709227091376161e-07,0.017571337222033665,1.4060406601394536e-05,0.9664840944173122,0.00785525988710637,0.007579231904878995,0.002005323444853437,0.00112597619754804,0.0005853569274580567,0.0004952088659945702,0.9999996636266363
124,4.0364803640367093e-07,0.018465619446686,1.2782187819449579e-05,0.9644225293460532,0.00835759986841074,0.0082067027774685,0.002063045114059162,0.0011688301640795631,0.0006274035979167725,0.0005340936268347906,0.9999997309013091
125,4.0364803640367093e-07,0.019390848020795947,1.1436694364770675e-05,0.9622587740469113,0.008882207766390045,0.00887958405415342,0.002164764419232887,0.0012391994717592697,0.0006726794526667176,0.0005758039239298366,0.9999990581545818
126,3.363733636697258e-07,0.020349713931272866,1.0360299601027553e-05,0.9599840828124312,0.00943345643477199,0.009601710391279588,0.0022759694532620985,0.001317238092130646,0.0007221263371261673,0.0006200706585887725,0.9999997309013091
127,3.363733636697258e-07,0.021380698290920576,9.41845418275232e-06,0.9575958319303761,0.009970779245898011,0.01037557095173816,0.002389327276818796,0.0013582756424983526,0.000773927835131305,0.0006667592814661304,0.9999993945279454
128,3.363733636697258e-07,0.02244074530918935,8.61115810994498e-06,0.955097856057092,0.01053299368593559,0.01120230940496561,0.0024987158946841908,0.0014388034257608849,0.0008266039038819841,0.0007168789126529195,0.9999997309013091
129,2.690986909357806e-07,0.023499917756712584,7.803862037137637e-06,0.952516661413636,0.011122925291139556,0.012082934871052954,0.002582001939528815,0.001523165865369252,0.0008809618394510117,0.0007691513333671949,0.9999996636266364
130,2.0182401820183546e-07,0.024586470996038532,7.063840637064241e-06,0.9498194179597139,0.0117399685894553,0.01302195475307336,0.0026977143766312005,0.001611564785341656,0.0009386835086567367,0.0008247202130454336,0.9999997981759817
131,2.0182401820183546e-07,0.02572233657047846,6.592917927926625e-06,0.9469786103541776,0.012389438280028807,0.014019839973735968,0.0028414803522636414,0.0017053456791327757,0.0009979524953353423,0.0008830473543057641,1.0000000672746727
132,2.0182401820183546e-07,0.026933684327725877,5.852896527853228e-06,0.9439840128467715,0.01305350657458558,0.015077868751822723,0.0029954720781516417,0.0017841915955769594,0.0010580960527594894,0.0009446709545300579,0.9999997981759818
133,1.345493454678903e-07,0.02823450739970944,5.516523164183502e-06,0.9408381818750595,0.013718113066524224,0.01619375374846067,0.003146369169093881,0.0018453442730921156,0.0011156158979470125,0.0010097255630637828,0.9999999327253273
134,1.345493454678903e-07,0.029549121779603463,4.843776436844051e-06,0.9375643272011348,0.014434117408431603,0.017369445929159098,0.0032741910472883764,0.001959778491412556,0.0011755576313529576,0.0010779420812160032,0.9999999327253273
135,6.727467273394515e-08,0.030886407724208826,4.507403073174325e-06,0.9341531649201601,0.015197146746580008,0.018608847224936567,0.0034113641049928907,0.002074078160387529,0.0012391321970865357,0.0011498587063685905,1.0
136,6.727467273394515e-08,0.03226204023227253,3.969205691302764e-06,0.9305850508276972,0.016015274041697516,0.01990792115542905,0.0035684504658266528,0.002193154331126612,0.0012994775785288846,0.0012255427131942788,0.9999998654506547
